local,gen,block,peso,corte
AC,PM42,3,1693.9111625815715,1
AC,PM33,3,1843.3287339291962,1
AC,MOMB,3,2065.2280958280094,1
AC,PM34,3,1097.6646813329355,1
AC,PM41,3,3441.5251421188736,1
AC,ARUA,3,1262.3675960488672,1
AC,PM30,1,884.6620845900563,2
AC,PM31,1,1055.1256097965688,2
AC,PM32,1,1181.3066280846042,2
AC,PM33,1,1028.6285803646026,2
AC,MOMB,1,1079.1696208166902,2
AC,PM34,1,591.4297209171874,2
AC,PM35,1,663.7950413223139,2
AC,PM36,1,1125.7050646358093,2
AC,PM37,1,806.3786993582987,2
AC,TANZ,1,801.968321608896,2
AC,PM38,1,648.985112127803,2
AC,PM39,1,630.6635244133168,2
AC,PM40,1,974.0200958643886,2
AC,PM41,1,1459.5839823141168,2
AC,MASS,1,845.7472620860947,2
AC,PM42,1,696.2219094289767,2
AC,PM43,1,559.2553627818916,2
AC,PM44,1,975.3863577114782,2
AC,PM45,1,927.941271170069,2
AC,MILE,1,1028.723023017351,2
AC,PM46,1,827.546193192184,2
AC,PM47,1,996.5047999266222,2
AC,ARUA,1,327.74106694121724,2
AC,PM39,2,1107.6885171830859,2
AC,PM33,2,935.8722071856922,2
AC,PM41,2,1746.5545528201803,2
AC,PM37,2,1014.0575716325243,2
AC,PM45,2,1043.015461130933,2
AC,PM36,2,715.5354008207003,2
AC,MOMB,2,853.8537985872294,2
AC,PM31,2,1197.0023186485591,2
AC,PM47,2,929.2851121370675,2
AC,PM43,2,669.3511605492496,2
AC,PM35,2,838.2374839277659,2
AC,PM30,2,747.4636231506565,2
AC,PM42,2,1064.1118830325643,2
AC,PM38,2,705.1090076292847,2
AC,PM46,2,974.8727000084931,2
AC,TANZ,2,1340.8541773642864,2
AC,PM44,2,1069.659712631679,2
AC,PM40,2,1270.4198564575581,2
AC,PM32,2,1344.9359002998283,2
AC,PM34,2,666.6655744508885,2
AC,MILE,2,861.3785964686435,2
AC,MASS,2,1186.7888714185742,2
AC,ARUA,2,583.7708320715815,2
AC,PM39,3,1204.9808429118775,2
AC,PM35,3,793.4558891023157,2
AC,PM30,3,497.5830717768435,2
AC,PM44,3,976.3442402279262,2
AC,PM36,3,918.67727365653775,2
AC,PM31,3,1047.0881427072404,2
AC,PM47,3,948.0223978518427,2
AC,PM43,3,689.5795062212376,2
AC,PM38,3,735.9553198068783,2
AC,PM40,3,688.1060330277658,2
AC,MASS,3,938.9078868805299,2
AC,PM46,3,550.0649427323178,2
AC,TANZ,3,796.0799715156586,2
AC,MILE,3,827.6419483751063,2
AC,PM45,3,792.8233396361461,2
AC,PM32,3,1177.477588339135,2
AC,PM37,3,867.935476886435,2
AC,PM42,3,837.8956117947027,2
AC,PM33,3,773.1394012095766,2
AC,MOMB,3,884.4612650754566,2
AC,PM34,3,341.1058566751546,2
AC,PM41,3,1800.1105172347693,2
AC,ARUA,3,439.9432106455091,2
AC,PM30,1,776.7325230821808,3
AC,PM31,1,968.6260687784591,3
AC,PM32,1,1055.6536235140954,3
AC,PM33,1,931.2368535329075,3
AC,MOMB,1,1434.925533158381,3
