local,corte,gen,block,peso
AC,3,PM32,3,1193.9062748212866
AC,3,PM37,3,989.7656497991441
AC,3,PM42,3,1048.0410447761194
AC,3,PM33,3,971.9781292716267
AC,3,MOMB,3,999.0412428093209
AC,3,PM34,3,601.9768408930969
AC,3,PM41,3,1841.1570968973226
AC,3,ARUA,3,910.7156518792965
AC,4,PM30,1,1071.5076070208336
AC,4,PM31,1,1151.5229681219237
AC,4,PM32,1,901.4157682815951
AC,4,PM33,1,1175.4153557432248
AC,4,MOMB,1,1114.8685802265477
AC,4,PM34,1,1097.973696611404
AC,4,PM35,1,864.1083967955693
AC,4,PM36,1,1620.129703451811
AC,4,PM37,1,938.9257535241491
AC,4,TANZ,1,814.8267249788296
AC,4,PM38,1,1164.9223386428682
AC,4,PM39,1,1054.3849348728988
AC,4,PM40,1,1347.9465292317605
AC,4,PM41,1,1274.3333492628076
AC,4,MASS,1,1282.6668406288736
AC,4,PM42,1,773.5368164908041
AC,4,PM43,1,686.3867906397895
AC,4,PM44,1,885.3219246817723
AC,4,PM45,1,879.2968750000001
AC,4,MILE,1,1250.1744441416868
AC,4,PM46,1,918.5193860803386
AC,4,PM47,1,1216.8594601781679
AC,4,ARUA,1,554.8649410726824
AC,4,PM39,2,1187.2031831600566
AC,4,PM33,2,1185.8607064334847
AC,4,PM41,2,1421.8713875218812
AC,4,PM37,2,1099.9060170917755
AC,4,PM45,2,944.8796860469206
AC,4,PM36,2,1098.9403716051631
AC,4,MOMB,2,1024.1542692422383
AC,4,PM31,2,1309.3173577171685
AC,4,PM47,2,928.731332663067
AC,4,PM43,2,684.9235675095692
AC,4,PM35,2,1119.3110704989754
AC,4,PM30,2,1663.6971525722952
AC,4,PM42,2,1288.6230430135502
AC,4,PM38,2,1074.2428130897897
AC,4,PM46,2,1005.8920104122788
AC,4,TANZ,2,1137.9390710837356
AC,4,PM44,2,1028.986281194753
AC,4,PM40,2,1231.5043825392693
AC,4,PM32,2,1144.704851247569
AC,4,PM34,2,1238.4754692130393
AC,4,MILE,2,1129.3770649963685
AC,4,MASS,2,1601.2012012012012
AC,4,ARUA,2,738.5213454397649
AC,4,PM39,3,1225.691142229364
AC,4,PM35,3,781.62765288216406
AC,4,PM30,3,923.6481766911754
AC,4,PM44,3,1017.583163119075
AC,4,PM36,3,1380.8616775674777
AC,4,PM31,3,1184.3568808425039
AC,4,PM47,3,1025.360685302074
AC,4,PM43,3,952.6408450704225
AC,4,PM38,3,1015.460075006467
AC,4,PM40,3,912.9862204092123
